,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
38,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9,Adventure,Y,2012,8,28
39,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9,Adventure,Y,2012,8,28
40,Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Music,Y,2012,8,27
41,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8,Shooter,N,2012,8,27
42,Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,Strategy,N,2012,10,2
43,Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,Strategy,N,2012,10,2
44,Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,Strategy,N,2012,10,2
45,Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Action,Y,2012,10,1
46,Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,"Action, Adventure",N,2012,10,1
47,Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,"Action, Adventure",N,2012,10,1
48,Shad'O,/games/shado/pc-141293,PC,7,Adventure,N,2012,9,28
49,Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,Action,N,2012,9,27
51,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8,Shooter,N,2012,8,27
52,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,RPG,Y,2012,8,27
54,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,RPG,Y,2012,8,27
59,Hoodwink,/games/hoodwink/pc-136672,PC,2.5,Adventure,N,2012,8,23
60,NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Sports,Y,2012,9,27
61,NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Sports,Y,2012,9,27
62,Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7,Adventure,N,2012,9,26
63,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012,9,26
65,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,Fighting,N,2012,9,25
66,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,Fighting,N,2012,9,25
68,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Adventure,Y,2012,10,26
69,Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Action,Y,2012,10,26
70,Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,PC,6,Adventure,N,2012,10,26
71,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,PlayStation 3,4,Shooter,N,2012,10,26
74,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,PlayStation 3,8.5,Shooter,N,2012,8,21
75,Hero Academy,/games/hero-academy-136971/pc-122908,PC,9,Board,Y,2012,8,20
76,Hero Academy,/games/hero-academy-136971/iphone-122803,iPhone,9,Strategy,Y,2012,8,20
78,Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,Xbox 360,5.5,Action,N,2012,9,24
79,Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,PlayStation 3,5.5,Action,N,2012,9,24
80,Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,PlayStation 3,8.2,Action,N,2012,9,23
81,Darksiders II,/games/darksiders-2/pc-91963,PC,7.5,Action,N,2012,8,17
82,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,Macintosh,7,Shooter,N,2012,8,17
83,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,PC,7,Shooter,N,2012,8,17
86,Horn,/games/horn/iphone-136814,iPhone,9,"Action, Adventure",Y,2012,8,16
88,FIFA Soccer 13,/games/fifa-2013/vita-115689,PlayStation Vita,4,Sports,N,2012,10,12
89,Mugen Souls,/games/mugen-souls/ps3-120256,PlayStation 3,3.9,"Strategy, RPG",N,2012,10,12
90,Crazy Taxi,/games/crazy-taxi/iphone-144755,iPhone,7.1,"Racing, Action",N,2012,10,11
93,The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,PC,8.3,RPG,N,2012,10,26
95,Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,Xbox 360,6,Sports,N,2012,10,25
98,Punch Quest,/games/punch-quest/iphone-136667,iPhone,9.3,Action,Y,2012,10,25
99,He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,iPhone,6.8,Action,N,2012,10,25
101,Dokuro,/games/dokuro/vita-130906,PlayStation Vita,8.8,Puzzle,N,2012,10,19
103,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,PlayStation 3,2.3,Action,N,2012,10,18
108,FIFA Soccer 13,/games/fifa-2013/pc-115688,PC,9,Sports,Y,2012,9,20
109,FIFA Soccer 13,/games/fifa-2013/ps3-115679,PlayStation 3,9,Sports,Y,2012,9,20
110,Torchlight II,/games/torchlight-ii/pc-82633,PC,9.1,"Action, RPG",Y,2012,9,20
114,Iron Brigade,/games/iron-brigade/pc-121033,PC,9,Action,Y,2012,8,15
116,Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,Xbox 360,8.5,Action,N,2012,8,14
119,Papo & Yo,/games/papo-and-yo/ps3-110267,PlayStation 3,4,Adventure,N,2012,8,14
120,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,PC,7.5,Adventure,N,2012,10,9
126,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,Macintosh,7.5,Adventure,N,2012,10,9
127,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,Xbox 360,8.2,Strategy,N,2012,10,8
128,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,PC,8.2,Strategy,N,2012,10,8
129,Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,PlayStation Vita,6,Adventure,N,2012,10,24
130,Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,PC,7.4,"Flight, Action",N,2012,10,24
131,Pocket Clothier,/games/pocket-clothier/iphone-145621,iPhone,6.6,Strategy,N,2012,10,24
132,Pocket Clothier,/games/pocket-clothier/android-145958,Android,6.6,Strategy,N,2012,10,24
133,Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,Shooter,N,2012,10,23
134,True Skate,/games/true-skate/iphone-145482,iPhone,6.7,Sports,N,2012,10,23
135,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Adventure,Y,2012,10,23
137,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9,Adventure,Y,2012,10,22
138,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8,"Action, Adventure",N,2012,10,18
140,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,"Shooter, RPG",N,2012,10,18
141,Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,Strategy,N,2012,10,17
142,Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,Strategy,N,2012,10,17
143,Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,"Action, RPG",N,2012,10,17
146,Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9,Action,N,2012,9,19
147,Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8,Adventure,N,2012,9,18
148,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8,RPG,N,2012,9,18
149,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,Platformer,N,2012,9,18
150,Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,Action,N,2012,9,17
152,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,Action,N,2012,9,17
153,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Sports,Y,2012,9,17
154,F1 2012,/games/f1-2012/pc-130383,PC,9,Racing,Y,2012,9,17
155,Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,Action,N,2012,8,14
156,Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7,Platformer,N,2012,8,13
160,10000000,/games/10000000/iphone-139135,iPhone,7.5,,N,2012,8,9
161,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,Strategy,N,2012,8,9
162,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9,Platformer,Y,2012,8,8
163,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9,Platformer,Y,2012,8,8
165,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,PlayStation 3,8.2,Strategy,N,2012,10,8
168,Dishonored,/games/dishonored/ps3-112931,PlayStation 3,9.2,Action,Y,2012,10,7
169,Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,Nintendo 3DS,7,"Puzzle, Action",N,2012,10,6
170,Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,Xbox 360,7,"Puzzle, Action",N,2012,10,6
171,Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,PlayStation 3,7,"Puzzle, Action",N,2012,10,6
172,Girls Like Robots,/games/girls-like-robots/iphone-145093,iPhone,8.5,Puzzle,N,2012,10,19
173,Happy Wars,/games/happy-wars/xbox-360-64840,Xbox 360,4,Action,N,2012,10,19
175,Funky Smugglers,/games/funky-smugglers/iphone-145106,iPhone,9,Action,Y,2012,10,16
176,Colour Bind,/games/colour-bind/pc-143757,PC,6.2,,N,2012,10,15
178,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,PC,5,Racing,N,2012,10,15
179,Retro City Rampage,/games/retro-city-rampage/ps3-128971,PlayStation 3,5.3,"Action, Adventure",N,2012,10,15
180,Retro City Rampage,/games/retro-city-rampage/pc-129032,PC,5.3,"Action, Adventure",N,2012,10,15
183,Snapshot,/games/snapshot/pc-143174,PC,5,Platformer,N,2012,9,17
184,F1 2012,/games/f1-2012/ps3-130382,PlayStation 3,9,Racing,Y,2012,9,17
185,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,PlayStation 3,8.5,Sports,Y,2012,9,17
186,F1 2012,/games/f1-2012/xbox-360-130379,Xbox 360,9,Racing,Y,2012,9,17
187,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,PC,8.5,Sports,Y,2012,9,17
190,Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,Xbox 360,8,Action,N,2012,9,13
191,Borderlands 2,/games/borderlands-2/ps3-94189,PlayStation 3,9,"Shooter, RPG",Y,2012,9,13
192,Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,PlayStation 4,9,Platformer,Y,2012,8,8
194,Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,Xbox 360,9,Fighting,Y,2012,8,7
195,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,PC,4.9,Platformer,N,2012,10,4
196,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,Xbox 360,4.9,Platformer,N,2012,10,4
198,The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,PlayStation 3,9,Puzzle,Y,2012,10,14
199,Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,PlayStation 3,8,Adventure,N,2012,9,13
201,Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,Xbox 360,9.8,Shooter,Y,2012,11,1
202,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,PlayStation 3,7,"Action, Compilation",N,2012,11,1
203,Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,Nintendo 3DS,8.3,Adventure,N,2012,11,1
204,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,Xbox 360,7,"Action, Compilation",N,2012,11,1
206,Borderlands Legends,/games/borderlands-legends/ipad-145832,iPad,6.5,"Action, RPG",N,2012,10,31
207,Okami HD,/games/okami/ps3-136378,PlayStation 3,9.4,Adventure,Y,2012,10,30
208,Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,PlayStation Vita,5,RPG,N,2012,10,30
209,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2012,10,30
211,Pid,/games/pid/pc-124085,PC,7.8,Platformer,N,2012,10,30
215,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/xbox-360-135486,Xbox 360,9,"Racing, Action",Y,2012,10,30
217,Smart As...,/games/smart-as-135038/vita-98920,PlayStation Vita,8.5,"Educational, Puzzle",N,2012,10,30
218,Assassin's Creed III,/games/assassins-creed-iii/ps3-128700,PlayStation 3,8.5,"Action, Adventure",N,2012,10,30
219,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/pc-135628,PC,9,"Racing, Action",Y,2012,10,30
220,WWE '13,/games/wwe-13/ps3-127917,PlayStation 3,8.4,Wrestling,N,2012,10,29
221,Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,PlayStation Vita,6.6,Fighting,N,2012,10,29
222,WWE '13,/games/wwe-13/xbox-360-127923,Xbox 360,8.4,Wrestling,N,2012,10,29
223,Chivalry: Medieval Warfare,/games/chivalry-medieval-warfare-142591/pc-75122,PC,7.9,Adventure,N,2012,10,29
224,Sonic Jump,/games/sonic-jump-2012/iphone-144482,iPhone,7.5,Platformer,N,2012,10,29
225,F1 Race Stars,/games/f1-race-stars/xbox-360-137846,Xbox 360,5.2,Racing,N,2012,11,13
227,F1 Race Stars,/games/f1-race-stars/ps3-137849,PlayStation 3,5.2,Racing,N,2012,11,13
231,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/ps3-126313,PlayStation 3,9.3,Shooter,Y,2012,11,13
232,When Vikings Attack,/games/when-vikings-attack/ps3-135043,PlayStation 3,6.5,"Fighting, Action",N,2012,11,9
233,When Vikings Attack,/games/when-vikings-attack/vita-135040,PlayStation Vita,6.5,"Fighting, Action",N,2012,11,9
234,"Freakyforms Deluxe: Your Creations, Alive!",/games/freakyforms-deluxe-your-creations-alive/3ds-139655,Nintendo 3DS,5,Productivity,N,2012,11,8
235,Painkiller: Hell & Damnation,/games/painkiller-hell-and-damnation/pc-136319,PC,5,Shooter,N,2012,11,7
236,Transformers Prime,/games/transformers-prime/3ds-130988,Nintendo 3DS,8,Action,N,2012,11,7
239,Paper Mario: Sticker Star,/games/paper-mario-3ds/3ds-77808,Nintendo 3DS,8.3,RPG,N,2012,11,6
240,Lucius,/games/lucius-shiver-games/pc-83378,PC,6,Adventure,N,2012,11,6
241,LittleBigPlanet Karting,/games/littlebigplanet-karting/ps3-128163,PlayStation 3,5,Racing,N,2012,11,6
242,Primal Carnage,/games/primal-carnage/pc-60854,PC,7.6,Shooter,N,2012,11,5
243,Natural Selection 2,/games/natural-selection-2/pc-904386,PC,8,Shooter,N,2012,11,5
245,Football Manager 2013,/games/football-manager-2013/mac-141666,Macintosh,9,"Sports, Simulation",Y,2012,11,3
248,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/mac-135889,Macintosh,9.5,Adventure,Y,2012,11,19
249,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ps3-135887,PlayStation 3,9.5,Adventure,Y,2012,11,19
250,Football Manager 2013,/games/football-manager-2013/pc-141663,PC,9,"Sports, Simulation",Y,2012,11,3
251,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/vita-135721,PlayStation Vita,7.4,"Racing, Action",N,2012,11,2
252,Orgarhythm,/games/orgarhythm-133846/vita-130950,PlayStation Vita,4.7,"Music, Action",N,2012,11,2
253,Sports Champions 2,/games/sports-champions-2/ps3-135395,PlayStation 3,7.6,"Sports, Action",N,2012,11,2
254,Kinect Party,/games/happy-action-theater-2/xbox-360-140195,Xbox 360,8.5,Party,N,2012,12,20
255,Sky Gamblers: Storm Raiders,/games/sky-gamblers-storm-raider/iphone-149216,iPhone,7.1,Action,N,2012,12,19
257,AirBuccaneers,/games/airbuccaneers/pc-150858,PC,7.5,Action,N,2012,12,19
258,Theatrhythm Final Fantasy,/games/theatrhythm-final-fantasy/iphone-150082,iPhone,8,"Music, Action",N,2012,12,19
260,Beatdown!,/games/beatdown/iphone-147890,iPhone,6.3,"Fighting, Action",N,2012,11,19
261,Waking Mars,/games/waking-mars-148199/pc-148201,PC,6.5,Action,N,2012,11,19
262,Waking Mars,/games/waking-mars-148199/iphone-129356,iPhone,6.5,Action,N,2012,11,19
263,Hitman: Absolution,/games/hitman-absolution/ps3-14348845,PlayStation 3,9,Action,Y,2012,11,18
264,Hitman: Absolution,/games/hitman-absolution/xbox-360-14348846,Xbox 360,9,Action,Y,2012,11,18
265,ZombiU,/games/zombi-u/wii-u-135661,Wii U,6.3,Shooter,N,2012,11,18
266,Grand Theft Auto: Vice City,/games/grand-theft-aut-vice-city/iphone-146059,iPhone,7.7,"Action, Adventure",N,2012,12,18
267,Street Fighter X Mega Man,/games/street-fighter-x-mega-man/pc-149856,PC,7,Action,N,2012,12,18
268,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/vita-133506,PlayStation Vita,7,"Racing, Action",N,2012,12,17
270,The Sims 3: Seasons,/games/the-sims-3-seasons/pc-138921,PC,7.5,Simulation,N,2012,12,17
271,Tank! Tank! Tank!,/games/tank-tank-tank/wii-u-135735,Wii U,5.8,Action,N,2012,12,14
272,Guardians of Middle-earth,/games/guardians-of-middle-earth/xbox-360-135298,Xbox 360,7.5,Battle,N,2012,12,14
273,Ratchet & Clank: Full Frontal Assault,/games/ratchet-and-clank-full-frontal-assault/ps3-135296,PlayStation 3,6.4,Action,N,2012,12,14
274,Page Chronica,/games/page-chronica/ps3-145412,PlayStation 3,4.1,Puzzle,N,2012,12,14
276,Batman: Arkham City -- Armored Edition,/games/batman-arkham-city/wii-u-110822,Wii U,9.5,Action,Y,2012,11,17
277,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/ps3-125841,PlayStation 3,6,"Action, Adventure",N,2012,11,17
278,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/xbox-360-125840,Xbox 360,6,"Action, Adventure",N,2012,11,17
280,Scribblenauts Unlimited,/games/scribblenauts-unlimited/wii-u-135731,Wii U,8.8,"Puzzle, Action",Y,2012,11,16
282,Fallen Enchantress,/games/elemental-fallen-enchantress/pc-101961,PC,7.9,Strategy,N,2012,11,16
284,Miner Wars 2081,/games/miner-wars-2081/pc-21143,PC,5,Shooter,N,2012,12,14
285,Guardians of Middle-earth,/games/guardians-of-middle-earth/ps3-135301,PlayStation 3,7.5,Battle,N,2012,12,14
286,The Elder Scrolls V: Skyrim -- Dragonborn,/games/the-elder-scrolls-v-skyrim-dragonborn/xbox-360-146422,Xbox 360,8.8,RPG,N,2012,12,13
287,Baldur's Gate -- Enhanced Edition,/games/baldurs-gate-enhanced-edition/ipad-130702,iPad,6,RPG,N,2012,12,13
289,Black Knight Sword,/games/black-knight-sword/ps3-115068,PlayStation 3,6.9,"Puzzle, Adventure",N,2012,12,13
290,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/xbox-360-100888,Xbox 360,9.3,Adventure,Y,2012,12,12
291,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/xbox-360-133505,Xbox 360,8.6,"Racing, Action",N,2012,11,15
292,New Super Mario Bros. U,/games/new-super-mario-bros-u/wii-u-135584,Wii U,9.1,Platformer,Y,2012,11,15
293,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/ps3-133498,PlayStation 3,8.6,"Racing, Action",N,2012,11,15
295,ARC Squadron,/games/arc-squadron-145523/iphone-145520,iPhone,7.3,"Flight, Action",N,2012,11,13
296,Ninja Gaiden III: Razor's Edge,/games/ninja-gaiden-iii-razors-edge/wii-u-110811,Wii U,7.6,Action,N,2012,11,13
297,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/ps3-100887,PlayStation 3,9.3,Adventure,Y,2012,12,12
298,The Walking Dead -- Game of the Year Edition,/games/the-walking-dead-game-of-the-year-edition/pc-20008044,PC,9.3,Adventure,Y,2012,12,12
299,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/iphone-150119,iPhone,9.3,Adventure,Y,2012,12,12
301,Baldur's Gate -- Enhanced Edition,/games/baldurs-gate-enhanced-edition/pc-130328,PC,8.1,RPG,N,2012,11,30
303,PlanetSide 2,/games/planetside-2/pc-14242769,PC,9,Shooter,Y,2012,11,30
304,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/wii-u-142951,Wii U,6,"Action, Adventure",N,2012,11,29
305,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/pc-100880,PC,9.3,Adventure,Y,2012,12,12
307,Strike Suit Zero,/games/strike-suit-zero/pc-115112,PC,7.5,Shooter,N,2013,1,22
308,Final Fantasy: All The Bravest,/games/final-fantasy-all-the-bravest-156962/iphone-156958,iPhone,2.5,RPG,N,2013,1,18
309,Tokyo Crash Mobs,/games/tokyo-crash-mobs/3ds-144441,Nintendo 3DS,7.7,"Puzzle, Action",N,2013,1,18
310,Ni no Kuni: Wrath of the White Witch,/games/ni-no-kuni/ps3-14284017,PlayStation 3,9.4,RPG,Y,2013,1,15
312,Borderlands 2: Sir Hammerlock's Big Game Hunt,/games/borderlands-2-hammerlocks-big-game-hunt/xbox-360-150509,Xbox 360,6.9,"Shooter, RPG",N,2013,1,15
317,Warriors Orochi 3 Hyper,/games/warriors-orochi-3-hyper/wii-u-142961,Wii U,7,Action,N,2012,11,29
319,Skylanders Battlegrounds,/games/skylanders-battlegrounds/iphone-146163,iPhone,6.6,Action,N,2012,11,28
320,Rage of the Gladiator,/games/rage-of-the-gladiator-2010/iphone-146969,iPhone,7.6,Action,N,2012,11,28
321,FIFA Soccer 13,/games/fifa-2013/wii-u-136146,Wii U,6,Sports,N,2012,11,27
322,Family Guy: Back to the Multiverse,/games/family-guy-back-to-the-multiverse/xbox-360-133934,Xbox 360,6,Adventure,N,2012,11,27
323,Family Guy: Back to the Multiverse,/games/family-guy-back-to-the-multiverse/ps3-133931,PlayStation 3,6,Adventure,N,2012,11,27
324,Little Inferno,/games/little-inferno/pc-136966,PC,5,Puzzle,N,2012,11,27
325,Little Inferno,/games/little-inferno/wii-u-137620,Wii U,5,Puzzle,N,2012,11,27
328,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/ipad-100886,iPad,9.3,Adventure,Y,2012,12,12
330,Jet Set Radio,/games/jet-set-radio/iphone-138175,iPhone,5.6,Action,N,2012,12,12
334,Just Dance 4,/games/just-dance-4/wii-u-135665,Wii U,5.3,Music,N,2012,12,10
339,DmC: Devil May Cry,/games/dmc/ps3-85707,PlayStation 3,8.5,Action,Y,2013,1,14
340,The Earth Defense Force 2017 Portable,/games/the-earth-defense-force-2017/vita-137197,PlayStation Vita,7.5,Action,N,2013,1,14
341,007 Legends,/games/007-legends/wii-u-142949,Wii U,4.2,Action,N,2013,1,14
344,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/wii-u-136081,Wii U,9.3,Shooter,Y,2012,11,21
345,Rabbids Land,/games/rayman-raving-rabbids-for-wii-u/wii-u-110845,Wii U,5,Party,N,2012,11,21
346,Tekken Tag Tournament 2: Wii U Edition,/games/tekken-tag-tournament-2/wii-u-110807,Wii U,7.5,Fighting,N,2012,11,21
347,Far Cry 3,/games/far-cry-3/pc-53492,PC,9,Shooter,Y,2012,11,21
348,Madden NFL 13,/games/madden-nfl-2013/wii-u-110858,Wii U,8.3,Sports,N,2012,11,21
